city,neighbourhood,room_type,average_price
Rio de Janeiro,Sao Cristovao,Shared room,208468.67
Bangkok,Taling Chan,Entire place,13748.44
Cape Town,Ward 78,Entire place,12240
Cape Town,Ward 74,Hotel room,12013.07
Bangkok,Sathon,Shared room,8662.92
Bangkok,Dusit,Entire place,8474.83
Cape Town,Ward 44,Private room,7500
Cape Town,Ward 54,Entire place,6714.91
Bangkok,Chatu Chak,Hotel room,6629.67
Rio de Janeiro,Alto da Boa Vista,Entire place,6439.66
Bangkok,Bang Khae,Entire place,6331.91
Cape Town,Ward 15,Hotel room,5958.36
Cape Town,Ward 62,Entire place,5944.81
Istanbul,Uskudar,Hotel room,5673
Cape Town,Ward 54,Hotel room,5395.07
Rio de Janeiro,Bangu,Entire place,5199.55
Istanbul,Kartal,Shared room,5112.67
Bangkok,Lat Phrao,Shared room,5000
Rio de Janeiro,Joa,Entire place,4914.34
Rio de Janeiro,Anchieta,Entire place,4844
Bangkok,Min Buri,Entire place,4704.45
Bangkok,Bang Khun thain,Entire place,4476.2
Bangkok,Bang Khun thain,Shared room,4402.67
Bangkok,Bang Rak,Entire place,4315.27
Bangkok,Khlong Toei,Hotel room,4292.42
Bangkok,Khlong Toei,Private room,4179.84
Cape Town,Ward 74,Entire place,4003.79
Cape Town,Ward 40,Entire place,4000
Bangkok,Yan na wa,Hotel room,3981.56
Bangkok,Parthum Wan,Entire place,3882.78
Istanbul,Arnavutkoy,Shared room,3825
Rio de Janeiro,Sao Conrado,Entire place,3688.04
Bangkok,Bang Khun thain,Private room,3613.73
Istanbul,Beykoz,Shared room,3535.2
Bangkok,Lat Phrao,Entire place,3495.39
Bangkok,Wang Thong Lang,Shared room,3376.8
Cape Town,Ward 71,Entire place,3268.87
Bangkok,Yan na wa,Private room,3196.39
Cape Town,Ward 69,Entire place,3166.85
Bangkok,Nong Chok,Entire place,3137
Hong Kong,Sham Shui Po,Shared room,3105.83
Bangkok,Phra Nakhon,Entire place,3096.01
Hong Kong,Tsuen Wan,Entire place,3092.67
Rio de Janeiro,Guaratiba,Entire place,3084.87
Bangkok,Pra Wet,Entire place,3077.43
Bangkok,Samphanthawong,Hotel room,3012.64
Bangkok,Bang Kho laen,Hotel room,3003
Bangkok,Saphan Sung,Entire place,2993.89
Bangkok,Din Daeng,Private room,2849.49
Cape Town,Ward 66,Private room,2809.75
Hong Kong,Tuen Mun,Entire place,2803.36
Bangkok,Yan na wa,Entire place,2740.68
Bangkok,Vadhana,Entire place,2608.96
Cape Town,Ward 100,Private room,2602.55
Bangkok,Lak Si,Hotel room,2586.18
Cape Town,Ward 77,Entire place,2585.78
Mexico City,Iztapalapa,Private room,2570.96
Istanbul,Beykoz,Entire place,2553.76
Bangkok,Khlong San,Entire place,2552.49
Bangkok,Parthum Wan,Private room,2514.76
Bangkok,Samphanthawong,Entire place,2512.3
Cape Town,Ward 115,Hotel room,2510.81
Bangkok,Huai Khwang,Hotel room,2494.03
Bangkok,Sathon,Private room,2478.98
Bangkok,Bueng Kum,Private room,2474
Bangkok,Parthum Wan,Shared room,2460.47
Bangkok,Khan Na Yao,Private room,2448.58
Cape Town,Ward 14,Entire place,2425.29
Rio de Janeiro,Andarai,Entire place,2421.95
Bangkok,Bangkok Noi,Entire place,2404.32
Cape Town,Ward 61,Shared room,2402
Bangkok,Khlong San,Hotel room,2391.08
Bangkok,Vadhana,Private room,2381.53
Cape Town,Ward 4,Entire place,2378.63
Bangkok,Sai Mai,Entire place,2337.73
Cape Town,Ward 74,Private room,2282.6
Cape Town,Ward 59,Entire place,2268.55
Istanbul,Eyup,Hotel room,2257.4
Cape Town,Ward 61,Entire place,2250.04
Bangkok,Chom Thong,Shared room,2250
Cape Town,Ward 110,Private room,2217
Istanbul,Silivri,Entire place,2198.81
Bangkok,Khlong Sam Wa,Entire place,2184.91
Istanbul,Sariyer,Entire place,2181.42
Bangkok,Thawi Watthana,Private room,2173.14
Bangkok,Chom Thong,Entire place,2157.02
Bangkok,Bang Na,Private room,2133.58
Bangkok,Huai Khwang,Private room,2115.2
Cape Town,Ward 61,Hotel room,2108.21
Cape Town,Ward 32,Entire place,2103.5
Cape Town,Ward 22,Entire place,2089.67
Bangkok,Bangkok Yai,Entire place,2076.94
Bangkok,Thawi Watthana,Entire place,2074.64
Bangkok,Bang Na,Hotel room,2066.67
Bangkok,Pom Prap Sattru Phai,Entire place,2056.73
Bangkok,Vadhana,Hotel room,2038.22
Mexico City,Miguel Hidalgo,Entire place,2029.87
Cape Town,Ward 84,Shared room,2013.33
Cape Town,Ward 54,Private room,2004.33
Cape Town,Ward 111,Entire place,2000
Bangkok,Thung khru,Entire place,1997.71
Bangkok,Khlong San,Private room,1990.39
Bangkok,Sathon,Entire place,1985.97
Bangkok,Thon buri,Private room,1982.43
Bangkok,Samphanthawong,Private room,1958.59
Bangkok,Suanluang,Private room,1957.65
Mexico City,A�lvaro Obregon,Shared room,1946.38
Cape Town,Ward 26,Entire place,1940.38
Bangkok,Nong Khaem,Entire place,1929.29
Mexico City,Benito Juarez,Shared room,1918.03
Bangkok,Pom Prap Sattru Phai,Private room,1900.95
Bangkok,Bang Khae,Private room,1891.14
Rio de Janeiro,Parque Anchieta,Entire place,1884
Rio de Janeiro,Jacarepagua,Hotel room,1879.67
Bangkok,Din Daeng,Entire place,1870.17
Bangkok,Ratchathewi,Entire place,1864.96
Rio de Janeiro,Barra de Guaratiba,Entire place,1858.57
Cape Town,Ward 73,Entire place,1856.55
Bangkok,Bangkok Noi,Private room,1850.64
Bangkok,Bang Bon,Entire place,1847
Bangkok,Khlong Toei,Entire place,1840.4
Cape Town,Ward 23,Entire place,1839.55
Istanbul,Sisli,Hotel room,1838.02
Rio de Janeiro,Lagoa,Entire place,1837.1
Mexico City,Coyoacan,Hotel room,1835.25
Cape Town,Ward 115,Entire place,1832.37
Mexico City,Xochimilco,Entire place,1828.47
Cape Town,Ward 73,Hotel room,1800
Bangkok,Phaya Thai,Private room,1797.08
Cape Town,Ward 67,Entire place,1795.78
Cape Town,Ward 100,Hotel room,1792.1
Bangkok,Bang Phlat,Private room,1790.88
Mexico City,Cuauhtemoc,Hotel room,1790.78
Bangkok,Ratchathewi,Private room,1770.72
Bangkok,Phra Khanong,Private room,1770.3
Bangkok,Bang Kho laen,Entire place,1760.66
Bangkok,Huai Khwang,Entire place,1756.95
Bangkok,Phaya Thai,Entire place,1752.21
Cape Town,Ward 4,Hotel room,1747.86
Bangkok,Rat Burana,Entire place,1745.9
Bangkok,Suanluang,Entire place,1734.39
Bangkok,Chatu Chak,Shared room,1727.2
Mexico City,Cuajimalpa de Morelos,Hotel room,1725.09
Cape Town,Ward 27,Entire place,1719.32
Bangkok,Saphan Sung,Private room,1719.29
Bangkok,Bang Rak,Shared room,1714.34
Bangkok,Wang Thong Lang,Private room,1712.77
Cape Town,Ward 56,Entire place,1711.33
Rio de Janeiro,Santa Teresa,Shared room,1707.57
Bangkok,Bang Rak,Private room,1700.7
Cape Town,Ward 86,Entire place,1692.74
Rio de Janeiro,Itanhanga,Entire place,1690
Mexico City,Milpa Alta,Private room,1682.62
Bangkok,Phra Khanong,Shared room,1672.13
Istanbul,Silivri,Hotel room,1671.5
Cape Town,Ward 15,Entire place,1666.24
Cape Town,Ward 62,Hotel room,1650
Cape Town,Ward 100,Entire place,1647.85
Bangkok,Phra Nakhon,Hotel room,1640.85
Bangkok,Bangkok Yai,Private room,1640.53
Bangkok,Chatu Chak,Entire place,1634.54
Bangkok,Bang Kho laen,Private room,1633.21
Bangkok,Thon buri,Hotel room,1632
Cape Town,Ward 84,Entire place,1631.83
Mexico City,Cuajimalpa de Morelos,Entire place,1628.35
Hong Kong,Southern,Entire place,1628.14
Bangkok,Taling Chan,Private room,1627.23
Cape Town,Ward 64,Entire place,1619.65
Bangkok,Parthum Wan,Hotel room,1608.52
Bangkok,Bang Khen,Entire place,1604.3
Cape Town,Ward 107,Entire place,1593.65
Bangkok,Lat Krabang,Entire place,1575.17
Cape Town,Ward 82,Entire place,1575
Bangkok,Bueng Kum,Entire place,1572.17
Bangkok,Khan Na Yao,Entire place,1557.79
Bangkok,Chatu Chak,Private room,1555.34
Mexico City,Miguel Hidalgo,Hotel room,1543.57
Cape Town,Ward 28,Private room,1540
Cape Town,Ward 71,Private room,1537.87
Mexico City,A�lvaro Obregon,Entire place,1536.22
Cape Town,Ward 58,Entire place,1532.97
Bangkok,Bang Sue,Private room,1527.4
Bangkok,Sathon,Hotel room,1519.67
Bangkok,Lat Phrao,Private room,1516.93
Cape Town,Ward 1,Hotel room,1516.67
Bangkok,Bang Rak,Hotel room,1511.71
Bangkok,Bangkok Yai,Hotel room,1505
Rio de Janeiro,Cacuia,Entire place,1500
Rio de Janeiro,Cavalcanti,Entire place,1500
Bangkok,Dusit,Private room,1491
Cape Town,Ward 55,Hotel room,1470
Bangkok,Phra Khanong,Entire place,1466.06
Istanbul,Catalca,Entire place,1461
Bangkok,Thung khru,Private room,1457.47
Hong Kong,Sai Kung,Entire place,1455.85
Cape Town,Ward 55,Entire place,1455.66
Rio de Janeiro,Taquara,Shared room,1451.5
Istanbul,Kucukcekmece,Private room,1445.32
Cape Town,Ward 105,Entire place,1443.32
Bangkok,Khlong Sam Wa,Private room,1432.7
Bangkok,Phasi Charoen,Entire place,1428.7
Mexico City,Cuauhtemoc,Entire place,1426.98
Bangkok,Bang Phlat,Entire place,1417.83
Bangkok,Don Mueang,Entire place,1414.91
Bangkok,Phra Nakhon,Private room,1397.31
Bangkok,Ratchathewi,Hotel room,1390.21
Istanbul,Sariyer,Hotel room,1377.33
Bangkok,Bang Kapi,Entire place,1370.99
Rio de Janeiro,Vaz Lobo,Entire place,1364
Istanbul,Pendik,Entire place,1359.03
Cape Town,Ward 1,Entire place,1352.42
Cape Town,Ward 109,Private room,1345.86
Cape Town,Ward 4,Private room,1345.27
Cape Town,Ward 109,Entire place,1341.95
Cape Town,Ward 105,Private room,1338.02
Cape Town,Ward 115,Private room,1337.77
Hong Kong,Central & Western,Hotel room,1335.2
Bangkok,Pom Prap Sattru Phai,Hotel room,1332.47
Cape Town,Ward 113,Entire place,1327.06
Rio de Janeiro,Vista Alegre,Private room,1326
Istanbul,Buyukcekmece,Entire place,1323.25
Cape Town,Ward 46,Private room,1317.17
Bangkok,Thon buri,Entire place,1314.11
Bangkok,Lak Si,Entire place,1307.67
Cape Town,Ward 21,Shared room,1300
Cape Town,Ward 21,Hotel room,1297
Cape Town,Ward 14,Private room,1288.13
Rio de Janeiro,Guaratiba,Shared room,1286.33
Cape Town,Ward 21,Entire place,1284.4
Cape Town,Ward 15,Private room,1281.58
Cape Town,Ward 83,Entire place,1270.71
Mexico City,Milpa Alta,Entire place,1270.2
Cape Town,Ward 107,Hotel room,1270
Hong Kong,Tai Po,Entire place,1269.83
Bangkok,Bang Na,Entire place,1269.65
Bangkok,Yan na wa,Shared room,1262.5
Hong Kong,Kwai Tsing,Private room,1262.2
Cape Town,Ward 48,Entire place,1261
Bangkok,Phaya Thai,Hotel room,1260.13
Cape Town,Ward 77,Hotel room,1254.17
Mexico City,Coyoacan,Entire place,1253.68
Bangkok,Bang Sue,Entire place,1246.39
Bangkok,Bang Phlat,Hotel room,1241.67
Bangkok,Suanluang,Shared room,1234.93
Rio de Janeiro,Santa Cruz,Shared room,1230.2
Cape Town,Ward 23,Hotel room,1221.44
Bangkok,Lat Krabang,Private room,1220.24
Rio de Janeiro,Santo Cristo,Entire place,1213.33
Cape Town,Ward 68,Entire place,1200
New York,New Brighton,Entire place,1200
Cape Town,Ward 103,Shared room,1200
Cape Town,Ward 69,Hotel room,1199
Cape Town,Ward 62,Private room,1198.81
Cape Town,Ward 23,Private room,1198.44
Bangkok,Pra Wet,Private room,1186.93
Bangkok,Phasi Charoen,Private room,1184.12
Cape Town,Ward 112,Hotel room,1183.33
Mexico City,Coyoacan,Shared room,1175.62
Bangkok,Phra Nakhon,Shared room,1175.48
Bangkok,Bang Bon,Private room,1174
Bangkok,Samphanthawong,Shared room,1170.57
Mexico City,Tlahuac,Shared room,1168.75
Cape Town,Ward 112,Entire place,1167.68
Rio de Janeiro,Cidade de Deus,Entire place,1163.5
Bangkok,Pra Wet,Hotel room,1162.2
Bangkok,Chom Thong,Private room,1159.59
Mexico City,Tlalpan,Entire place,1157.09
Cape Town,Ward 11,Entire place,1153.67
Cape Town,Ward 25,Private room,1151.67
Rio de Janeiro,Santa Teresa,Entire place,1151.47
Rio de Janeiro,Realengo,Entire place,1144.25
Bangkok,Don Mueang,Private room,1142.83
Rio de Janeiro,Barra da Tijuca,Entire place,1140.08
Bangkok,Wang Thong Lang,Entire place,1131.69
Istanbul,Kucukcekmece,Entire place,1116.4
Bangkok,Bangkok Noi,Hotel room,1113.33
Cape Town,Ward 12,Entire place,1100
Mexico City,Benito Juarez,Hotel room,1099.68
Cape Town,Ward 85,Entire place,1098.48
Hong Kong,Islands,Entire place,1095.59
Hong Kong,Kwai Tsing,Entire place,1095.17
Cape Town,Ward 103,Entire place,1091.16
Cape Town,Ward 57,Entire place,1086.71
Bangkok,Rat Burana,Private room,1086.32
Cape Town,Ward 84,Hotel room,1080
Bangkok,Bang Kapi,Private room,1077.65
Mexico City,Benito Juarez,Entire place,1077.58
Cape Town,Ward 70,Entire place,1075.1
Hong Kong,Islands,Hotel room,1071.5
Cape Town,Ward 59,Private room,1070.9
Hong Kong,Central & Western,Entire place,1069.67
Rio de Janeiro,Quintino Bocaiuva,Entire place,1068
Rio de Janeiro,Vila Militar,Entire place,1067
Mexico City,Venustiano Carranza,Shared room,1066.82
Rio de Janeiro,Gavea,Entire place,1060.22
Rio de Janeiro,Vargem Grande,Entire place,1048.19
Istanbul,Beylikduzu,Entire place,1047.46
Rio de Janeiro,Taquara,Entire place,1044.56
Cape Town,Ward 5,Hotel room,1040
Bangkok,Min Buri,Private room,1037.89
Mexico City,Iztacalco,Entire place,1034.06
Cape Town,Ward 53,Entire place,1025.86
Hong Kong,Kowloon City,Entire place,1020
Cape Town,Ward 61,Private room,1017.4
Bangkok,Thon buri,Shared room,1016
Mexico City,Miguel Hidalgo,Private room,1014.86
Istanbul,Fatih,Private room,1014.73
Bangkok,Bang Khen,Private room,1014.35
Rio de Janeiro,Osvaldo Cruz,Entire place,1007.5
Rio de Janeiro,Maracana,Entire place,1006.95
Cape Town,Ward 59,Hotel room,1006.67
Cape Town,Ward 69,Private room,1004.48
Bangkok,Lat Krabang,Hotel room,1000.06
New York,Bedford-Stuyvesant,Hotel room,1000
Cape Town,Ward 3,Hotel room,1000
Bangkok,Suanluang,Hotel room,999.33
Mexico City,A�lvaro Obregon,Hotel room,996.5
New York,Murray Hill,Shared room,995.73
Rio de Janeiro,Sao Conrado,Private room,984.84
Cape Town,Ward 49,Entire place,984.8
Hong Kong,Yau Tsim Mong,Entire place,983.75
Cape Town,Ward 2,Shared room,983.33
Hong Kong,Kwun Tong,Entire place,980.33
Bangkok,Lak Si,Private room,979.92
Bangkok,Phra Khanong,Hotel room,978.5
Hong Kong,Sai Kung,Private room,974.04
Hong Kong,Wan Chai,Entire place,973.08
Mexico City,Gustavo A. Madero,Entire place,972.9
Bangkok,Don Mueang,Hotel room,970.12
Bangkok,Din Daeng,Hotel room,969.83
Rio de Janeiro,Jardim Botanico,Entire place,969.17
Mexico City,Azcapotzalco,Entire place,963.75
Cape Town,Ward 104,Entire place,959.75
Istanbul,Sisli,Entire place,958.56
Cape Town,Ward 5,Entire place,955.24
Cape Town,Ward 84,Private room,951.8
Rio de Janeiro,Gamboa,Private room,948.88
Istanbul,Adalar,Entire place,948.38
Cape Town,Ward 72,Entire place,946.6
Cape Town,Ward 60,Entire place,946.47
Cape Town,Ward 8,Entire place,946.18
Rio de Janeiro,Copacabana,Private room,945.84
Rio de Janeiro,Vila Isabel,Entire place,945.12
Cape Town,Ward 102,Entire place,939.39
Hong Kong,Eastern,Entire place,928.27
Bangkok,Ratchathewi,Shared room,922.07
Rio de Janeiro,Leblon,Entire place,915.77
Hong Kong,Yau Tsim Mong,Hotel room,915.76
Hong Kong,North,Private room,912.72
Cape Town,Ward 64,Private room,904.23
Bangkok,Khlong Toei,Shared room,901.67
Rio de Janeiro,Ricardo de Albuquerque,Private room,900
Cape Town,Ward 6,Entire place,900
Rio de Janeiro,Complexo do Alemao,Shared room,900
Cape Town,Ward 58,Hotel room,900
Rio de Janeiro,Osvaldo Cruz,Private room,900
Cape Town,Ward 2,Hotel room,895
Rio de Janeiro,Recreio dos Bandeirantes,Entire place,894.81
Mexico City,Cuauhtemoc,Private room,894.5
Hong Kong,Southern,Private room,893.35
Cape Town,Ward 63,Entire place,890.19
Cape Town,Ward 77,Private room,884.11
Rio de Janeiro,Vargem Pequena,Entire place,878.93
Istanbul,Sile,Entire place,875.94
Cape Town,Ward 75,Entire place,875
Rio de Janeiro,Marechal Hermes,Private room,872.29
Cape Town,Ward 64,Hotel room,872.13
Cape Town,Ward 66,Entire place,870
Cape Town,Ward 53,Hotel room,870
Mexico City,La Magdalena Contreras,Entire place,869.12
Rio de Janeiro,Vicente de Carvalho,Entire place,862.5
Cape Town,Ward 53,Shared room,860
Cape Town,Ward 112,Private room,855.13
Bangkok,Bang Na,Shared room,852.33
Hong Kong,Islands,Private room,851.68
Cape Town,Ward 4,Shared room,850
Cape Town,Ward 19,Entire place,848.67
Rio de Janeiro,Todos os Santos,Entire place,848.5
Bangkok,Sai Mai,Private room,846.2
Rio de Janeiro,Tijuca,Entire place,846.16
Mexico City,Tlahuac,Entire place,840
Rio de Janeiro,Praca da Bandeira,Entire place,838.86
Cape Town,Ward 21,Private room,838.25
Hong Kong,Wong Tai Sin,Entire place,837.5
Cape Town,Ward 25,Entire place,837
Bangkok,Bang Khen,Hotel room,836.75
Bangkok,Nong Chok,Private room,836
Rio de Janeiro,Praca Seca,Shared room,835
Bangkok,Nong Khaem,Private room,831.91
Cape Town,Ward 67,Private room,830.75
Istanbul,Adalar,Shared room,830
Cape Town,Ward 2,Private room,827.44
Rio de Janeiro,Ipanema,Entire place,824.31
Rio de Janeiro,Sao Francisco Xavier,Entire place,823.83
Cape Town,Ward 71,Hotel room,823.33
Cape Town,Ward 2,Entire place,821.03
Rio de Janeiro,Paciencia,Private room,818
Cape Town,Ward 1,Private room,817.59
Rio de Janeiro,Humaita,Entire place,815.64
Mexico City,Venustiano Carranza,Entire place,813.37
Rio de Janeiro,Vargem Pequena,Private room,813.16
Rio de Janeiro,Leblon,Hotel room,811.75
Cape Town,Ward 77,Shared room,811
Hong Kong,North,Entire place,808.32
Cape Town,Ward 85,Private room,808
Hong Kong,Wan Chai,Hotel room,807.89
Mexico City,Cuajimalpa de Morelos,Private room,807.47
Cape Town,Ward 83,Private room,803.93
Mexico City,Cuajimalpa de Morelos,Shared room,802.71
Cape Town,Ward 101,Shared room,800
Rio de Janeiro,Anchieta,Shared room,800
Cape Town,Ward 29,Entire place,800
New York,Fort Wadsworth,Entire place,800
Bangkok,Min Buri,Shared room,800
Rio de Janeiro,Mangueira,Entire place,800
Rio de Janeiro,Rocha Miranda,Entire place,800
