amenity,total_count,low_review_count,high_review_count
Wifi,248800,3705,170020
Essentials,238335,3612,163062
Kitchen,220097,3221,151057
Long term stays allowed,215997,3389,146523
Hangers,198799,2794,140297
TV,186230,2781,125493
Iron,172925,2262,124073
Dedicated workspace,166048,2333,119031
Hair dryer,164318,2155,119728
Hot water,162383,2147,126318
Washer,152787,2015,105687
Heating,151583,2141,108954
Shampoo,141823,1856,104373
Smoke alarm,139506,2090,98530
Air conditioning,121375,1932,79783
Dishes and silverware,115535,1078,98787
Cooking basics,108165,990,91540
Refrigerator,108036,1067,90617
Microwave,93875,941,78577
Stove,90030,792,77461
Bed linens,89539,995,72043
Dryer,88789,1302,60353
Fire extinguisher,84136,1374,58609
Coffee maker,83975,649,72183
Oven,80191,762,67521
Elevator,79389,1150,55507
First aid kit,75017,1015,53161
Free parking on premises,67018,1121,41442
Private entrance,66802,1017,46450
Extra pillows and blankets,56256,485,46627
Luggage dropoff allowed,55187,614,44890
Carbon monoxide alarm,54081,789,39116
Free street parking,53233,501,45471
Cable TV,50621,490,39985
Host greets you,46749,457,39561
Lock on bedroom door,40985,854,24131
Patio or balcony,38881,320,32296
Pool,36270,547,21875
Dishwasher,35419,320,28697
Breakfast,28992,462,16045
Paid parking off premises,28927,269,24848
Gym,27862,442,16351
Washer,27093,639,13664
Garden or backyard,24501,220,20087
Carbon monoxide alarm,23386,272,18996
Heating,22169,382,13036
Shower gel,21331,250,16397
Air conditioning,20594,296,12468
Shampoo,19374,362,12929
Bathtub,18261,180,14209
Lockbox,18192,123,16262
Long term stays allowed,18158,344,10643
Hair dryer,18144,257,12418
Room-darkening shades,17301,165,14146
Kitchen,17072,332,9341
TV,16425,332,8312
Single level home,16212,134,13919
Indoor fireplace,15340,191,10285
Ethernet connection,14579,150,11543
Crib,14342,152,11870
Iron,14244,251,8748
Building staff,14041,250,10558
BBQ grill,13468,128,10754
Shampoo,12885,356,6582
Refrigerator,12668,122,10735
Hot tub,12064,229,7067
Smoke alarm,12022,189,9377
High chair,11928,93,10005
Elevator,11881,176,6432
Cleaning before checkout,11719,160,8918
Patio or balcony,11225,108,9652
Children\u2019s books and toys,10598,62,9118
Heating,10575,154,6171
TV,10381,133,7522
Elevator,10311,136,7876
Wifi,10229,225,4779
Cable TV,9809,110,6042
Paid parking on premises,9791,113,8226
Dishwasher,9633,61,8290
Bed linens,9477,79,7934
Body soap,9152,93,6612
Freezer,9143,101,6326
Fire extinguisher,8980,149,6124
Baking sheet,8439,79,6323
Pack \u2019n Play/travel crib,8371,62,7388
Essentials,8147,145,4285
Dedicated workspace,7992,114,5138
Pocket wifi,7973,85,6334
Laundromat nearby,7616,91,5605
Essentials,7035,90,5303
Window guards,6990,71,5561
Hangers,6789,209,3787
Extra pillows and blankets,6521,68,5217
Hair dryer,6262,139,2858
Keypad,6032,42,5370
Beachfront,6029,81,4667
Paid parking off premises,6005,49,5338
Microwave,5887,56,5132
Hangers,5767,85,3594
Children\u2019s dinnerware,5622,26,4937
Long term stays allowed,5511,142,1986
Babysitter recommendations,5443,47,4491
First aid kit,5302,97,3206
Portable fans,5269,54,4029
Dedicated workspace,5225,81,3240
Washer,5193,56,3980
Smoke alarm,4938,96,2448
Dishes and silverware,4920,46,4134
Conditioner,4910,64,3426
Barbecue utensils,4614,36,3455
Host greets you,4496,63,3590
Hot water kettle,4466,32,3034
Dryer,4319,89,2207
Beach essentials,4277,32,3613
Garden or backyard,4233,40,3620
Lock on bedroom door,4204,54,2439
Smart lock,3900,46,3126
Cleaning products,3877,35,2584
Baby bath,3795,25,3206
Nespresso machine,3761,30,2724
Kitchen,3746,67,1801
Free street parking,3691,24,3194
Breakfast,3650,49,2281
Dining table,3582,29,2338
Free parking on premises,3376,57,1189
Mini fridge,3184,70,2204
Wine glasses,3089,15,2191
Waterfront,2997,44,2192
Ceiling fan,2987,31,2243
Dishes and silverware,2937,30,2463
Drying rack for clothing,2889,22,1904
Toaster,2868,17,2041
Changing table,2850,20,2281
Fire extinguisher,2804,55,1443
Room-darkening shades,2771,17,2398
Pack \u2019n Play/travel crib,2703,12,2456
Game console,2668,12,2126
Free parking on premises,2602,46,1416
Refrigerator,2555,47,2053
Outlet covers,2540,36,2063
Lock on bedroom door,2538,32,1401
Clothing storage,2500,25,1454
Bread maker,2453,47,1706
Hot water,2391,41,1711
Building staff,2374,16,2121
Cable TV,2246,59,1291
Pour-over coffee,2227,22,1658
Coffee maker,2218,31,1668
Coffee maker,2049,26,1704
First aid kit,1974,21,1557
Indoor fireplace,1947,16,1256
Ethernet connection,1924,27,1539
Lockbox,1923,18,1730
Pocket wifi,1915,15,1678
Breakfast,1854,24,1313
Baby safety gates,1833,22,1504
Private entrance,1819,40,1091
Shower gel,1752,25,1331
Bedroom comforts,1682,0,1682
Bathroom essentials,1669,0,1669
Private entrance,1658,44,992
Sound system,1628,21,1040
Oven,1603,13,1290
Gym,1524,35,657
Oven,1479,26,1072
Bed linens,1470,28,1116
Stove,1460,30,1154
Safe,1398,10,741
Long term stays allowed,1388,32,253
Outdoor furniture,1383,8,1054
Pack \u2019n Play/travel crib,1372,5,1231
Cooking basics,1345,19,1064
EV charger,1340,10,1069
Private living room,1208,18,625
Full kitchen,1205,0,1183
Fireplace guards,1155,10,978
Single level home,1123,7,985
Pocket wifi,1111,29,682
Rice maker,1107,9,740
Children\u2019s books and toys,1091,7,955
Lake access,1067,18,792
Wifi,1052,30,328
Carbon monoxide alarm,1012,35,420
Single level home,898,12,717
Washer \u2013\u00a0In unit,889,7,701
Bathtub,875,14,690
Table corner guards,875,14,717
Gym,870,13,475
Free street parking,868,21,658
Cleaning before checkout,841,7,686
Luggage dropoff allowed,802,13,630
Waterfront,796,10,644
Hot tub,792,12,517
Self check-in,780,0,780
Shower gel,764,4,621
Beachfront,748,5,585
Baby monitor,748,3,636
Cooking basics,745,12,551
Air conditioning,723,27,256
Microwave,708,12,560
Pool,695,18,164
Babysitter recommendations,675,2,610
Outdoor dining area,672,5,466
Smart lock,664,4,611
Bidet,638,4,442
Building staff,634,11,459
Pour-over coffee,631,2,490
Lockbox,628,9,480
Clothing storage: closet,621,5,477
Conditioner,608,4,445
Piano,596,7,409
Central heating,589,3,453
Iron,587,10,236
BBQ grill,567,9,372
Trash compactor,543,6,285
Clothing storage: wardrobe,542,1,436
Paid parking on premises,520,3,445
Wine glasses,517,4,369
Paid street parking off premises,508,8,382
Dryer \u2013\u00a0In unit,505,3,410
Mini fridge,482,8,299
Stove,480,12,322
Ethernet connection,477,3,415
Garden or backyard,471,13,358
Freezer,465,9,344
Stainless steel oven,450,4,304
Central air conditioning,446,3,353
Board games,437,2,309
Mosquito net,432,8,250
Washer \u2013\u00a0In building,425,5,330
Dryer \u2013 In building,421,5,338
Body soap,417,3,265
Record player,414,8,243
Gas stove,404,5,288
Dryer,404,11,100
Keypad,402,6,343
Electric stove,400,3,272
Hot water,389,7,202
Portable heater,387,4,336
Paid parking garage off premises,380,2,280
Stainless steel gas stove,370,3,288
Free washer\u2013In unit,367,0,274
Keurig coffee machine,366,6,265
Beachfront,342,9,213
Extra pillows and blankets,341,4,198
Window guards,327,3,272
Paid parking lot off premises,315,4,239
Window AC unit,311,3,252
High chair,303,16,252
Luggage dropoff allowed,302,6,208
Dining table,300,1,200
Fireplace guards,295,3,260
Hot tub,292,12,136
Outdoor dining area,290,4,236
Full kitchen,289,0,277
Outdoor shower,273,2,171
Induction stove,267,4,208
Pets allowed,266,0,220
Baby safety gates,265,1,223
Pool,264,8,113
Sound system,257,2,161
High chair,255,0,219
Ski-in/Ski-out,235,7,166
Cleaning before checkout,234,6,121
HDTV,222,1,167
Crib,221,1,166
Paid parking off premises,218,1,185
Patio or balcony,217,5,159
Bikes,212,2,107
Fire pit,212,1,125
Paid parking on premises,205,3,165
Private living room,195,6,83
Table corner guards,188,9,132
Room-darkening shades,179,4,82
Laundromat nearby,175,2,108
Bedroom comforts,175,0,175
Sauna,174,1,77
Paid street parking off premises,168,3,99
standard cable,167,2,138
HDTV with Netflix,164,0,147
Free dryer\u2013In unit,160,0,128
Radiant heating,156,0,123
Dedicated workspace: table,155,0,129
Crib,155,0,117
Bathroom essentials,150,0,150
Safe,149,0,92
Nespresso machine,147,0,99
Free parking garage on premises \u2013 1 space,146,3,117
Lake access,145,4,74
Bluetooth sound system,141,1,111
Clothing storage,139,3,58
Outlet covers,139,0,130
Window AC unit,138,0,116
Portable air conditioning,136,1,118
Smart lock,133,1,114
TV with Netflix,133,0,113
Stainless steel electric stove,130,1,96
Wifi \u2013 100 Mbps,128,0,107
Freezer,127,1,66
Self check-in,127,0,127
Pool table,126,0,74
Baking sheet,125,1,100
Dedicated workspace: desk,125,0,86
,124,0,25
Keurig coffee machine,122,1,102
Shared sauna,120,0,92
Free driveway parking on premises \u2013 1 space,120,0,87
Ping pong table,116,1,71
Smoking allowed,115,0,115
Children\u2019s dinnerware,114,0,92
Netflix,114,1,95
Shared garden or backyard,114,2,75
Paid washer\u2013In building,113,1,88
premium cable,107,0,90
Baby monitor,107,0,90
Children\u2019s dinnerware,106,0,84
HDTV with Netflix,106,0,89
HDTV with standard cable,105,0,75
Gas stove,103,0,70
Lake access,101,1,82
Paid parking garage on premises,100,2,64
Children\u2019s books and toys,100,1,90
Indoor fireplace,99,2,37
Free residential garage on premises \u2013 1 space,98,2,84
Shared outdoor pool,97,1,67
Dishwasher,96,2,65
Drying rack for clothing,96,0,55
Wifi \u2013 50 Mbps,95,0,76
Private living room,95,2,30
Sun loungers,93,1,5
Amazon Prime Video,92,0,74
Washer \u2013\u00a0In unit,90,1,63
Paid dryer\u2013In building,87,1,62
Conditioner,86,3,58
Paid parking lot on premises,85,5,53
Netflix,85,0,73
Wifi \u2013 20 Mbps,84,1,76
Ironing board,81,2,4
Wifi \u2013 10 Mbps,81,0,65
Garage parking,80,1,5
Pool cover,78,0,77
Private fenced garden or backyard,78,1,50
Shared gym in building,76,0,53
Shared fenced garden or backyard,74,0,45
Clothing storage: walk-in closet,74,0,46
Board games,72,2,35
Clothing storage: closet and dresser,71,0,55
Free parking garage on premises,68,0,50
TV with standard cable,67,1,50
"32\"" HDTV",67,2,55
Concierge,67,0,0
Free wifi,67,0,0
Host greets you,65,2,36
Bathroom essentials,64,0,64
Sound system with aux,64,0,52
Clothing storage: closet and wardrobe,64,0,52
Terrace,62,1,5
Clothing storage: dresser,62,0,50
Wifi \u2013 200 Mbps,62,0,42
Paid parking lot off premises,61,0,48
Ceiling fan,61,0,40
Wifi \u2013 30 Mbps,60,0,57
Game console,60,1,43
Breakfast bar,60,0,4
Wifi \u2013 120 Mbps,60,0,49
Stainless steel oven,60,3,44
Private hot tub,59,0,53
Paid parking garage off premises,59,0,42
Mini fridge,58,2,28
Sound system with Bluetooth and aux,57,0,40
Amazon Prime Video,56,0,49
Parking,56,1,2
Kitchenette,56,0,45
Rice maker,55,0,37
Toiletries,55,0,0
Espresso machine,55,0,4
Chromecast,55,0,49
dresser,55,0,42
Chef's kitchen,53,1,5
