l_listing_id,l_name,l_host_id,l_host_since,l_host_location,l_host_response_time,l_host_response_rate,l_host_acceptance_rate,l_host_is_superhost,l_host_total_listings_count,l_host_has_profile_pic,l_host_identity_verified,l_neighbourhood,l_district,l_city,l_latitude,l_longitude,l_property_type,l_room_type,l_accommodates,l_bedrooms,l_amenities,l_price,l_minimum_nights,l_maximum_nights,l_review_scores_rating,l_review_scores_accuracy,l_review_scores_cleanliness,l_review_scores_checkin,l_review_scores_communication,l_review_scores_location,l_review_scores_value,l_instant_bookable,r_lisitng_id,r_review_id,r_date,r_reviewer_id
23175,Avocet Cape Town Villa - Rooms/B&B,79694,2010-02-10,"Cape Town, Western Cape, South Africa",a few days or more,0.4,0,f,9,t,t,Ward 113,null,Cape Town,-33.83305,18.49519,Private room in guesthouse,Private room,7,4,"[""Long term stays allowed"", ""Iron"", ""Window guards"", ""Fireplace guards"", ""Indoor fireplace"", ""Heating"", ""Pool"", ""Breakfast"", ""Washer"", ""Dedicated workspace"", ""Free parking on premises"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Hot tub"", ""TV""]",569,1,100,40,4,2,4,2,10,6,f,23175,365218752,2019-01-01,171053636
67925,Charming studio in 15th centerParis,194155,2010-08-07,"Paris, Ile-de-France, France",null,null,1,f,2,t,t,Vaugirard,null,Paris,48.84612,2.28439,Entire apartment,Entire place,1,null,"[""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning before checkout""]",45,2,730,60,4,7,5,5,7,7,f,67925,36754030,2015-07-01,3203447
67925,Charming studio in 15th centerParis,194155,2010-08-07,"Paris, Ile-de-France, France",null,null,1,f,2,t,t,Vaugirard,null,Paris,48.84612,2.28439,Entire apartment,Entire place,1,null,"[""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning before checkout""]",45,2,730,60,4,7,5,5,7,7,f,67925,211958240,2017-11-15,156446715
67925,Charming studio in 15th centerParis,194155,2010-08-07,"Paris, Ile-de-France, France",null,null,1,f,2,t,t,Vaugirard,null,Paris,48.84612,2.28439,Entire apartment,Entire place,1,null,"[""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning before checkout""]",45,2,730,60,4,7,5,5,7,7,f,67925,621210594,2020-03-29,43409075
274552,APT LAPA. BOA NEGOCIAÃ‡ÃƒO CARNAVAL ATÃ‰ 5 PESSOAS!,1435630,2011-11-23,"Rio de Janeiro, Rio de Janeiro, Brazil",null,null,null,f,1,t,t,Santa Teresa,null,Rio de Janeiro,-22.91577,-43.18744,Entire apartment,Entire place,4,1,"[""Elevator"", ""Kitchen"", ""Private entrance"", ""Washer"", ""Bed linens"", ""Hot water"", ""Air conditioning"", ""Long term stays allowed"", ""Essentials"", ""TV"", ""Iron"", ""Wifi"", ""Hangers"", ""Host greets you"", ""Fire extinguisher""]",500,4,60,60,8,2,8,10,8,6,t,274552,839344,2012-01-04,718156
274552,APT LAPA. BOA NEGOCIAÃ‡ÃƒO CARNAVAL ATÃ‰ 5 PESSOAS!,1435630,2011-11-23,"Rio de Janeiro, Rio de Janeiro, Brazil",null,null,null,f,1,t,t,Santa Teresa,null,Rio de Janeiro,-22.91577,-43.18744,Entire apartment,Entire place,4,1,"[""Elevator"", ""Kitchen"", ""Private entrance"", ""Washer"", ""Bed linens"", ""Hot water"", ""Air conditioning"", ""Long term stays allowed"", ""Essentials"", ""TV"", ""Iron"", ""Wifi"", ""Hangers"", ""Host greets you"", ""Fire extinguisher""]",500,4,60,60,8,2,8,10,8,6,t,274552,126500312,2017-01-12,18163739
329551,Standard room with external bathroom,1384510,2011-11-08,"Rome, Lazio, Italy",null,null,null,f,4,t,t,II Parioli/Nomentano,null,Rome,41.93553,12.51538,Room in bed and breakfast,Hotel room,4,1,"[""Elevator"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Smoke alarm"", ""Air conditioning"", ""First aid kit"", ""Long term stays allowed"", ""Breakfast"", ""Heating""]",40,1,1125,20,2,6,2,2,2,2,t,329551,32010298,2015-05-12,13554856
726692,House 10 min from Midtown Manhattan,3641304,2012-09-22,"New York, New York, United States",within a few hours,1,null,f,3,t,t,Astoria,Queens,New York,40.76216,-73.92542,Entire house,Entire place,6,3,"[""Refrigerator"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Free parking on premises"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Long term stays allowed"", ""Hair dryer"", ""Dishes and silverware"", ""TV"", ""Dishwasher"", ""Wifi"", ""Heating"", ""BBQ grill"", ""Cooking basics"", ""Stove"", ""Garden or backyard""]",245,6,30,60,6,6,6,6,6,6,f,726692,528782640,2019-09-13,242285599
726692,House 10 min from Midtown Manhattan,3641304,2012-09-22,"New York, New York, United States",within a few hours,1,null,f,3,t,t,Astoria,Queens,New York,40.76216,-73.92542,Entire house,Entire place,6,3,"[""Refrigerator"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Free parking on premises"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Long term stays allowed"", ""Hair dryer"", ""Dishes and silverware"", ""TV"", ""Dishwasher"", ""Wifi"", ""Heating"", ""BBQ grill"", ""Cooking basics"", ""Stove"", ""Garden or backyard""]",245,6,30,60,6,6,6,6,6,6,f,726692,44825637,2015-08-29,35380075
747176,furnished 1bedroom in copacabana,1429181,2011-11-21,"Rio de Janeiro, Rio de Janeiro, Brazil",within a few hours,0.9,0.71,f,10,t,t,Copacabana,null,Rio de Janeiro,-22.96768,-43.18241,Entire apartment,Entire place,3,1,"[""Elevator"", ""Kitchen"", ""Hot water"", ""Air conditioning"", ""Long term stays allowed"", ""Essentials"", ""Paid parking off premises"", ""TV"", ""Iron"", ""Hangers"", ""Host greets you""]",250,5,30,60,null,null,null,null,null,null,f,747176,3241488,2013-01-03,3931507
