city,neighbourhood,total_count,average_price
Rome,I Centro Storico,9790,132.07
Paris,Buttes-Montmartre,6406,89.4
Rio de Janeiro,Copacabana,6226,631.65
Paris,Popincourt,5516,93.82
Sydney,Sydney,4857,216.52
Mexico City,Cuauhtemoc,4577,1426.98
Rome,I Centro Storico,4131,122.68
Istanbul,Beyoglu,4131,476.15
Paris,Vaugirard,4125,107.54
Paris,Enclos-St-Laurent,3972,106.57
Paris,Batignolles-Monceau,3732,100.85
Paris,Menilmontant,3171,79.5
Sydney,Waverley,3149,325.29
Paris,Buttes-Chaumont,3050,87.51
Sydney,Sydney,2876,152.87
Paris,Passy,2809,167.15
Mexico City,Cuauhtemoc,2754,894.5
Paris,Temple,2718,138.81
Cape Town,Ward 115,2712,1832.37
Paris,Opera,2518,115.15
Paris,Reuilly,2244,93.98
Istanbul,Beyoglu,2201,348.45
Rio de Janeiro,Ipanema,2188,824.31
Rio de Janeiro,Barra da Tijuca,2074,1140.08
Paris,Observatoire,2073,96.21
Cape Town,Ward 54,2051,6714.91
Mexico City,Miguel Hidalgo,2045,2029.87
Hong Kong,Yau Tsim Mong,1978,617.9
Istanbul,Sisli,1976,958.56
Paris,Bourse,1940,150.91
Paris,Gobelins,1801,105.68
Paris,Pantheon,1799,121.69
Paris,Hotel-de-Ville,1786,143.44
Sydney,Randwick,1703,260.68
Istanbul,Fatih,1694,1014.73
Bangkok,Khlong Toei,1659,1840.4
Paris,Luxembourg,1617,161.5
Mexico City,Benito Juarez,1578,640.15
Bangkok,Vadhana,1550,2608.96
Paris,Palais-Bourbon,1525,145.62
Sydney,Waverley,1503,100.3
Mexico City,Benito Juarez,1488,1077.58
New York,Bedford-Stuyvesant,1456,65.81
Istanbul,Sisli,1389,260.44
Paris,Elysee,1387,195.59
New York,Williamsburg,1369,78.53
Rio de Janeiro,Copacabana,1359,945.84
New York,Williamsburg,1339,186.01
Sydney,Warringah,1317,341.22
Istanbul,Kadikoy,1317,194.12
Sydney,Randwick,1249,97.17
Sydney,Manly,1248,385.27
Istanbul,Fatih,1222,656.93
New York,Bedford-Stuyvesant,1201,153.48
Paris,Louvre,1189,173.63
Mexico City,Miguel Hidalgo,1178,1014.86
New York,Bushwick,1148,61.39
Rome,VII San Giovanni/Cinecitta,1142,81.05
Rome,II Parioli/Nomentano,1128,106.69
New York,Harlem,1120,76.5
Rome,XIII Aurelia,1105,106.64
Sydney,Pittwater,1075,653.42
Mexico City,Coyoacan,1051,590.84
Bangkok,Huai Khwang,1044,1756.95
New York,Upper East Side,1043,189.21
Rio de Janeiro,Leblon,1017,915.77
Sydney,Woollahra,970,402.02
New York,Hell's Kitchen,969,203.45
Rio de Janeiro,Jacarepagua,969,735.25
New York,Upper West Side,941,252.33
Cape Town,Ward 77,937,2585.78
New York,Midtown,921,240.82
Rio de Janeiro,Recreio dos Bandeirantes,884,894.81
Rome,I Centro Storico,872,105.77
Rome,XII Monte Verde,863,93.78
Istanbul,Kadikoy,850,436.11
